CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SEGMENT,CITY,STATE,COUNTRY,POSTAL_CODE,REGION,REGIONAL_MANAGER
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,United States,42420,South,Cassandra Brandow
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,United States,42420,South,Cassandra Brandow
DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,United States,90036,West,Anna Andreadi
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,33311,South,Cassandra Brandow
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,33311,South,Cassandra Brandow
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032,West,Anna Andreadi
AA-10480,Andrew Allen,Consumer,Concord,North Carolina,United States,28027,South,Cassandra Brandow
IM-15070,Irene Maddox,Consumer,Seattle,Washington,United States,98103,West,Anna Andreadi
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,United States,76106,Central,Kelly Williams
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,United States,76106,Central,Kelly Williams
PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,United States,53711,Central,Kelly Williams
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,United States,84084,West,Anna Andreadi
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,United States,94109,West,Anna Andreadi
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,United States,94109,West,Anna Andreadi
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,United States,94109,West,Anna Andreadi
KB-16585,Ken Black,Corporate,Fremont,Nebraska,United States,68025,Central,Kelly Williams
KB-16585,Ken Black,Corporate,Fremont,Nebraska,United States,68025,Central,Kelly Williams
SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,United States,19140,East,Chuck Magee
EB-13870,Emily Burns,Consumer,Orem,Utah,United States,84057,West,Anna Andreadi
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,United States,90049,West,Anna Andreadi
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,United States,90049,West,Anna Andreadi
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States,19140,East,Chuck Magee
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,United States,19140,East,Chuck Magee
